ID,Freq,W,L,Wf,Lf,S11
102,0.786000013,113.7,88.93,3.06,51.24,-28.00504854
177,0.791499972,112.9,88.27,3.06,50.86,-25.70028921
227,0.796999991,112.3,87.83,3.06,50.61,-25.91483419
304,0.80250001,111.5,87.19,3.06,50.24,-25.62151666
381,0.808000028,110.7,86.55,3.06,49.87,-24.51268361
432,0.813499987,110.2,86.13,3.06,49.63,-23.14842104
510,0.819000006,109.4,85.51,3.06,49.28,-23.29352635
590,0.824500024,108.6,84.9,3.06,48.92,-22.93839928
671,0.829999983,107.8,84.29,3.06,48.58,-22.09378012
751,0.835500002,107.1,83.7,3.06,48.24,-21.31823206
805,0.841000021,106.6,83.3,3.06,48.01,-21.22221195
885,0.846499979,105.8,82.72,3.06,47.68,-20.89225602
970,0.851999998,105.1,82.15,3.06,47.35,-20.43598788
1024,1.352499962,104.6,81.17,3.06,47.13,-22.57846944
1064,1.35800004,104.1,81.4,3.06,46.91,-20.95905111
1104,1.363499999,103.7,81.02,3.06,46.7,-21.29890642
1125,1.368999958,103.4,80.84,3.06,46.59,-20.86132585
1167,1.374500036,103,80.47,3.06,46.38,-20.49769109
1209,1.379999995,102.5,80.11,3.06,46.18,-21.95101618
1251,1.385499954,102,79.75,3.06,45.97,-21.49066319
1295,1.391000032,101.6,79.39,3.06,45.76,-21.79779933
1363,1.40199995,100.9,78.86,3.06,45.46,-22.80735656
1410,1.407500029,100.5,78.52,3.06,45.26,-22.24014066
1460,1.412999988,100,78.17,3.06,45.06,-22.79836442
1511,1.418499947,99.59,77.83,3.06,44.87,-22.53843517
1538,1.424000025,99.37,77.66,3.06,44.77,-21.83472684
1593,1.429499984,98.94,77.32,3.06,44.58,-23.25373738
1649,1.434999943,98.51,76.98,3.06,44.38,-23.17289354
1704,1.440500021,98.09,76.65,3.06,44.19,-23.82272879
1763,1.44599998,97.67,76.32,3.06,44,-22.14767914
1791,1.451500058,97.46,76.16,3.06,43.91,-22.97071563
1853,1.457000017,97.05,75.83,3.06,43.72,-23.32704934
1915,1.462499976,96.64,75.51,3.06,43.53,-24.53959394
1978,1.468000054,96.23,75.19,3.06,43.35,-24.24984303
2040,1.473500013,95.82,74.87,3.06,43.17,-23.02936492
2072,1.478999972,95.62,74.71,3.06,43.08,-23.54306614
2136,1.484500051,95.22,74.4,3.06,42.9,-24.6333364
2199,1.49000001,94.83,74.09,3.06,42.72,-24.33958403
2263,1.495499969,94.43,73.78,3.06,42.54,-24.40649914
2330,1.501000047,94.05,73.48,3.06,42.37,-23.38107742
2362,1.506500006,93.85,73.33,3.06,42.28,-24.36918353
2425,1.511999965,93.47,73.02,3.06,42.11,-25.29129102
2478,1.517500043,93.09,72.72,3.06,41.94,-25.64959327
2533,1.523000002,92.71,72.43,3.06,41.77,-25.13594919
2589,1.528499961,92.33,72.13,3.06,41.6,-23.69215555
2616,1.534000039,92.15,71.99,3.06,41.51,-24.58725505
2671,1.539499998,91.77,71.7,3.06,41.35,-25.89046789
2727,1.544999957,91.41,71.41,3.06,41.18,-26.17581883
2754,1.550500035,91.22,71.26,3.06,41.1,-22.55001226
2782,2.611999989,53.66,41.75,3.06,24.18,-23.04352815
2810,2.622999907,53.54,41.65,3.06,24.12,-45.64703569
2837,2.628499985,53.41,41.56,3.06,24.06,-40.51827818
2864,2.634000063,53.29,41.46,3.06,24,-37.51414302
2878,2.639499903,53.22,41.41,3.06,23.98,-35.64591238
2904,2.644999981,53.1,41.31,3.06,23.92,-40.22468113
2931,2.650500059,52.98,41.21,3.06,23.87,-46.03765349
2957,2.655999899,52.85,41.12,3.06,23.81,-41.48089904
2983,2.661499977,52.73,41.02,3.06,23.76,-37.03555622
3011,2.667000055,52.61,40.93,3.06,23.7,-33.92818341
3024,2.672499895,52.55,40.88,3.06,23.67,-37.17310873
3051,2.677999973,52.43,40.78,3.06,23.62,-42.73749213
3077,2.683500051,52.31,40.69,3.06,23.56,-63.08420025
3104,2.688999891,52.19,40.59,3.06,23.51,-42.83486236
3133,2.694499969,52.07,40.5,3.06,23.46,-36.54984447
3147,2.700000048,52.01,40.45,3.06,23.43,-34.92923069
3176,2.705499887,51.89,40.36,3.06,23.38,-40.24865882
3203,2.710999966,51.77,40.27,3.06,23.32,-54.72430042
3231,2.716500044,51.66,40.16,3.06,23.27,-52.34014854
3257,2.721999884,51.54,40.08,3.06,23.22,-39.94777451
3284,2.727499962,51.42,39.99,3.06,23.17,-34.26734775
3297,2.73300004,51.36,39.95,3.06,23.14,-38.17802878
3323,2.738500118,51.25,39.86,3.06,23.09,-35.83321454
3350,2.743999958,51.13,39.76,3.06,23.04,-44.48003627
3376,2.749500036,51.02,39.67,3.06,22.98,-49.56462881
3401,2.755000114,50.91,39.59,3.06,22.93,-48.09932654
3427,2.760499954,50.79,39.5,3.06,22.88,-37.03784235
3453,2.766000032,50.68,39.41,3.06,22.83,-34.55110039
3466,2.771500111,50.62,39.36,3.06,22.81,-38.61766424
3493,2.77699995,50.51,39.27,3.06,22.76,-43.08481757
3520,2.782500029,50.4,39.19,3.06,22.7,-47.92676482
3547,2.788000107,50.29,39.1,3.06,22.66,-43.10848276
3575,2.793499947,50.18,39.01,3.06,22.6,-38.13806865
3588,2.799000025,50.12,38.97,3.06,22.58,-35.12958636
3616,2.804500103,50.01,38.88,3.06,22.53,-40.48013739
